sentence,label
"Công ty A đã giảm phát thải carbon 20% so với năm trước.",positive
"Công ty B triển khai thành công dự án năng lượng tái tạo.",positive
"Công ty C tăng quỹ học bổng cho sinh viên vùng nông thôn.",positive
"Doanh nghiệp D áp dụng chính sách đa dạng và hòa nhập nội bộ.",positive
"Tập đoàn E nâng cao tiêu chí quản trị rủi ro tài chính.",positive
"Công ty F cải thiện điều kiện làm việc cho công nhân.",positive
"Công ty G phát hành trái phiếu xanh với lãi suất ưu đãi.",positive
"Công ty H công bố báo cáo minh bạch về quản trị công ty.",positive
"Doanh nghiệp I đã tái chế 90% chất thải rắn.",positive
"Công ty J giảm mức sử dụng nước 30% trong sản xuất.",positive
"Công ty K đào tạo nhân viên về an toàn lao động.",positive
"Doanh nghiệp L áp dụng chuỗi cung ứng thô bền vững.",positive
"Công ty M tăng tỷ lệ giám đốc nữ lên 40%.",positive
"Tập đoàn N cải tiến quy trình kiểm toán nội bộ.",positive
"Doanh nghiệp O khởi động chương trình hỗ trợ cộng đồng.",positive
"Công ty P hợp tác với NGO về bảo tồn đa dạng sinh học.",positive
"Công ty Q đầu tư vào công nghệ tiết kiệm năng lượng.",positive
"Công ty R vi phạm mức giới hạn phát thải cho phép.",negative
"Doanh nghiệp S bị phát hiện sử dụng lao động trẻ em.",negative
"Công ty T không minh bạch trong báo cáo tài chính.",negative
"Doanh nghiệp U thường xuyên gây ô nhiễm nguồn nước.",negative
"Công ty V bị phạt vì gian lận kế toán.",negative
"Doanh nghiệp W thiếu chính sách bảo hộ lao động.",negative
"Công ty X gặp bê bối hối lộ quan chức.",negative
"Doanh nghiệp Y xử lý chất thải nguy hại không theo quy trình.",negative
"Công ty Z thiếu trách nhiệm trong việc bảo vệ dữ liệu khách hàng.",negative
"Doanh nghiệp AA không tuân thủ quy định an toàn cháy nổ.",negative
"Công ty BB thiếu kế hoạch giảm thiểu khí nhà kính.",negative
"Doanh nghiệp CC phân biệt đối xử nhân viên.",negative
"Công ty DD thiếu giám sát ủy ban kiểm toán.",negative
"Doanh nghiệp EE phớt lờ cảnh báo về rủi ro xã hội.",negative
"Công ty FF không có chính sách ứng phó biến đổi khí hậu.",negative
"Doanh nghiệp GG bị kiện vì xâm phạm quyền lợi cộng đồng.",negative
"Công ty HH trì hoãn công bố báo cáo bền vững.",negative
"Báo cáo bền vững năm 2025 được công bố vào tháng 6.",neutral
"Công ty II đang đánh giá lại chỉ số ESG nội bộ.",neutral
"Doanh nghiệp JJ tổ chức hội thảo về phát triển bền vững.",neutral
"Báo cáo tài chính quý 1 bao gồm các số liệu về môi trường.",neutral
"Công ty KK thành lập ủy ban ESG vào đầu năm.",neutral
"Doanh nghiệp LL công bố chỉ số carbon trong báo cáo.",neutral
"Công ty MM thử nghiệm hệ thống quản lý chất thải.",neutral
"Doanh nghiệp NN tổ chức khảo sát ý kiến nhân viên.",neutral
"Công ty OO báo cáo kết quả kiểm toán nội bộ.",neutral
"Tập đoàn PP rà soát chính sách nhân sự.",neutral
"Doanh nghiệp QQ công bố báo cáo tác động xã hội.",neutral
"Công ty RR tiến hành đánh giá rủi ro tài chính.",neutral
"Doanh nghiệp SS họp bàn triển khai mục tiêu bền vững.",neutral
"Công ty TT ghi nhận số liệu về tiêu thụ năng lượng.",neutral
"Doanh nghiệp UU nghiên cứu thị trường liên quan ESG.",neutral
"Công ty VV thu thập phản hồi khách hàng về bền vững.",neutral
"Công ty WW ký kết hợp đồng mua điện từ nguồn năng lượng sạch.",positive
"Doanh nghiệp XX tài trợ học bổng cho trẻ em khó khăn tại địa phương.",positive
"Tập đoàn YY đạt chứng nhận quốc tế về quản lý môi trường.",positive
"Công ty ZZ công bố chính sách bảo vệ đa dạng sinh học tại dự án mới.",positive
"Doanh nghiệp AB phát động chiến dịch giảm rác thải nhựa trong cộng đồng.",positive
"Công ty AC tăng cường minh bạch công bố thông tin về hoạt động xã hội.",positive
"Tập đoàn AD xây dựng nhà máy đạt chuẩn tiết kiệm năng lượng.",positive
"Doanh nghiệp AE mở lớp đào tạo kỹ năng nghề cho lao động trẻ.",positive
"Công ty AF hợp tác cùng đối tác quốc tế về phát triển bền vững.",positive
"Doanh nghiệp AG đạt thành tích xuất sắc trong quản trị rủi ro doanh nghiệp.",positive
"Công ty AH đầu tư hệ thống xử lý nước thải hiện đại.",positive
"Tập đoàn AI đạt giải thưởng về trách nhiệm xã hội doanh nghiệp.",positive
"Doanh nghiệp AJ tổ chức chương trình hiến máu nhân đạo cho cộng đồng.",positive
"Công ty AK áp dụng công nghệ xanh trong dây chuyền sản xuất.",positive
"Doanh nghiệp AL ký cam kết không sử dụng lao động cưỡng bức.",positive
"Tập đoàn AM công bố báo cáo tác động môi trường minh bạch.",positive
"Công ty AN tăng cường sự đa dạng giới trong đội ngũ lãnh đạo.",positive
"Doanh nghiệp AO hỗ trợ tài chính cho các dự án môi trường địa phương.",positive
"Công ty AP triển khai chương trình tái trồng rừng ven biển.",positive
"Doanh nghiệp AQ đảm bảo quyền lợi bảo hiểm cho toàn bộ nhân viên.",positive
"Công ty AR bị phát hiện xả thải hóa chất ra sông.",negative
"Doanh nghiệp AS bị chỉ trích vì sa thải hàng loạt không hỗ trợ.",negative
"Tập đoàn AT bị đình chỉ dự án do vi phạm quy định môi trường.",negative
"Công ty AU không thực hiện kiểm toán độc lập báo cáo bền vững.",negative
"Doanh nghiệp AV bị tố cáo quấy rối nơi làm việc.",negative
"Công ty AW bị xử phạt vì không công bố thông tin rủi ro tài chính.",negative
"Doanh nghiệp AX bị khách hàng phản ánh về sản phẩm gây ô nhiễm.",negative
"Công ty AY thiếu minh bạch trong sử dụng vốn đầu tư xã hội.",negative
"Tập đoàn AZ gặp sự cố rò rỉ khí độc tại nhà máy.",negative
"Doanh nghiệp BA không có chương trình đào tạo an toàn lao động.",negative
"Công ty BB bị xử lý hình sự vì làm sai lệch số liệu phát thải.",negative
"Doanh nghiệp BC chưa ban hành quy trình bảo vệ dữ liệu cá nhân.",negative
"Tập đoàn BD vi phạm luật cạnh tranh trong đấu thầu dự án.",negative
"Công ty BE bị phản ánh về lương thấp cho nhân viên hợp đồng.",negative
"Doanh nghiệp BF bị cấm xuất khẩu do không đáp ứng tiêu chuẩn môi trường.",negative
"Công ty BG trì hoãn bồi thường cho người lao động bị tai nạn.",negative
"Doanh nghiệp BH bị phát hiện gian lận trong kiểm toán nội bộ.",negative
"Tập đoàn BI không thực hiện cam kết giảm phát thải khí nhà kính.",negative
"Công ty BJ bị chỉ trích thiếu chính sách phòng chống quấy rối.",negative
"Doanh nghiệp BK không hỗ trợ cộng đồng bị ảnh hưởng bởi dự án.",negative
"Tập đoàn BL bị phạt do không tuân thủ quy định sử dụng tài nguyên nước.",negative
"Công ty BM công bố mục tiêu giảm phát thải khí nhà kính đến năm 2030.",neutral
"Doanh nghiệp BN đang nghiên cứu áp dụng công nghệ mới cho sản xuất sạch hơn.",neutral
"Tập đoàn BO tổ chức hội thảo chia sẻ kinh nghiệm quản trị ESG.",neutral
"Công ty BP công bố số liệu về tỷ lệ phụ nữ trong ban lãnh đạo.",neutral
"Doanh nghiệp BQ thực hiện khảo sát mức độ hài lòng của nhân viên.",neutral
"Công ty BR cập nhật chính sách bảo vệ môi trường trong năm nay.",neutral
"Doanh nghiệp BS thử nghiệm mô hình làm việc linh hoạt.",neutral
"Tập đoàn BT lập báo cáo đánh giá tác động xã hội cho dự án mới.",neutral
